transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
YER056C-A	5575.76	5821.79	7520.67	5413.63	4855.24	9735.92	4262.87	11341.75	9833.02	5775.02	6322.72	11846.72
YER057C	1077.0	951.0	1403.0	941.0	842.0	1581.0	809.0	2416.0	2039.0	929.0	1146.0	1949.0
YER058W	43.0	40.0	75.0	37.0	48.0	134.0	36.0	98.0	71.0	41.0	49.0	66.0
YER059W	250.0	219.0	467.0	269.0	354.0	630.0	252.0	807.0	631.0	497.0	450.0	898.0
YER060W	405.66	499.48	595.72	426.66	324.44	560.29	305.83	938.34	802.4	333.5	419.85	621.4
YER060W-A	124.44	102.03	148.15	115.72	111.17	166.49	85.14	258.4	201.18	156.11	168.77	307.78
YER061C	327.0	264.0	364.0	290.0	300.0	383.0	232.0	570.0	434.0	282.0	263.0	488.0
YER062C	456.0	507.0	827.0	617.0	643.0	995.0	603.0	1683.0	1221.0	672.0	709.0	1315.0
YER063W	603.0	685.0	876.0	589.0	596.0	1055.0	471.0	1400.0	979.0	575.0	725.0	1229.0
YER064C	1402.0	1483.0	1966.0	2209.0	1880.0	2656.0	1510.0	4335.0	3273.0	2635.0	2869.0	5174.0
YER065C	527.0	527.0	686.0	647.0	626.0	749.0	467.0	1460.0	1053.0	696.0	793.0	1332.0
YER066W	51.58	45.0	97.95	75.39	79.17	118.27	49.29	133.55	131.6	81.5	80.8	164.0
YER067W	96.0	105.0	133.0	86.0	116.0	202.0	81.0	168.0	149.0	205.0	204.0	374.0
YER068W	545.0	516.0	853.0	676.0	616.0	894.0	540.0	1432.0	1259.0	855.0	922.0	1765.0
YER069W	515.0	564.0	742.0	760.0	634.0	982.0	724.0	1694.0	1407.0	1011.0	1214.0	1962.0
YER070W	4819.0	4996.0	6308.0	7263.0	6118.0	8988.0	4769.0	13915.0	10958.0	7753.0	9157.0	14854.0
YER071C	211.0	162.0	246.0	152.0	212.0	370.0	168.0	426.0	381.0	241.0	175.0	483.0
YER072W	1968.0	2270.0	3532.0	2332.0	1790.0	2385.0	1849.0	5062.0	2881.0	1442.0	1851.0	3176.0
YER073W	2246.0	2204.0	2782.0	3421.0	3547.0	5779.0	3622.0	9674.0	8930.0	7929.0	6650.0	17113.0
YER074W	14369.55	15233.29	21312.16	13107.92	13730.34	25597.5	11222.51	29204.37	24083.46	12966.7	11859.75	27927.91
YER074W-A	463.0	362.0	627.0	505.0	600.0	1029.0	406.0	1007.0	969.0	655.0	587.0	1321.0
YER075C	370.0	377.0	558.0	467.0	449.0	698.0	349.0	1036.0	990.0	562.0	543.0	1123.0
YER076C	119.0	141.0	192.0	161.0	164.0	300.0	122.0	300.0	263.0	189.0	197.0	424.0
YER077C	352.0	366.0	572.0	377.0	420.0	614.0	339.0	717.0	743.0	488.0	278.0	945.0
YER078C	329.0	328.0	485.0	464.0	432.0	685.0	344.0	882.0	755.0	528.0	628.0	966.0
YER078W-A	2.0	4.0	3.0	7.0	0.0	4.0	5.0	3.0	9.0	4.0	5.0	6.0
YER079W	120.0	93.0	173.0	95.0	145.0	177.0	88.0	254.0	217.0	186.0	149.0	397.0
YER080W	922.0	912.0	1472.0	1023.0	1100.0	1946.0	852.0	2102.0	1941.0	1338.0	1230.0	2872.0
YER081W	471.24	423.88	697.4	813.15	844.26	1469.41	651.33	1753.33	1463.2	1525.99	1331.26	2990.04
YER082C	687.0	605.0	1172.0	671.0	812.0	1364.0	543.0	1436.0	1515.0	970.0	682.0	1861.0
YER083C	611.0	554.0	864.0	847.0	645.0	1333.0	631.0	1651.0	1491.0	1004.0	1300.0	2247.0
YER084W	7.0	4.0	4.0	11.0	6.0	7.0	5.0	19.0	11.0	19.0	5.0	23.0
YER085C	1.0	1.0	2.0	8.0	2.0	8.0	3.0	10.0	2.0	6.0	5.0	7.0
YER086W	2986.0	3233.0	3911.0	3613.0	3144.0	5126.0	2738.0	7725.0	6118.0	3627.0	4148.0	7264.0
