transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001179345.3	123.49	174.0	160.08	92.0	100.0	122.58
NM_001179346.1	3750.8	3723.66	5635.56	1399.78	1139.87	960.81
NM_001179347.3	573.17	578.87	1094.66	1762.29	1690.61	2985.93
NM_001179349.1	27.37	16.02	33.82	33.06	20.46	8.3
NM_001179350.3	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179351.3	266.0	270.0	412.0	337.0	286.0	498.0
NM_001179352.3	494.0	431.0	783.0	568.0	587.0	975.0
NM_001184653.1	473.0	495.0	811.0	453.0	534.0	1074.0
NM_001179353.1	362.0	344.0	505.0	413.0	426.0	792.0
NM_001179354.3	295.0	209.0	392.0	230.0	240.0	468.0
NM_001179355.1	517.0	522.0	739.0	592.0	533.0	850.0
NM_001179356.1	91.0	59.0	86.0	115.0	81.0	148.0
NM_001179357.3	149.0	102.0	223.0	140.0	145.0	357.0
NM_001179358.3	392.0	328.0	587.0	398.0	493.0	881.0
NM_001184306.2	305.0	252.0	480.0	388.0	335.0	705.0
NM_001179359.1	1058.0	1098.0	1426.0	746.0	707.0	1113.0
NM_001179360.3	304.0	405.0	489.0	429.0	388.0	683.0
NM_001179361.1	160.0	203.0	252.0	116.0	104.0	174.0
NM_001348845.1	4.0	0.0	7.0	11.0	11.0	3.0
NM_001179363.1	286.0	309.0	397.0	297.0	348.0	476.0
NM_001181433.3	40.0	35.0	83.0	81.0	56.0	119.0
NM_001179364.3	597.0	596.0	851.0	586.0	676.0	978.0
NM_001179365.1	1775.0	1832.0	2598.0	2269.0	2313.0	3410.0
NM_001179366.1	426.0	447.0	611.0	453.0	458.0	852.0
NM_001179367.3	331.0	347.0	496.0	457.0	455.0	599.0
NM_001179368.1	31965.06	32201.32	43206.94	29672.37	28806.56	52831.34
NM_001179369.1	336.0	347.0	588.0	373.0	517.0	849.0
NM_001179370.3	315.0	402.0	496.0	384.0	438.0	697.0
NM_001179371.3	913.0	862.0	1300.0	941.0	1021.0	1894.0
NM_001179372.1	881.0	1117.0	1336.0	1003.0	1021.0	1606.0
NM_001179373.1	614.0	608.0	834.0	743.0	817.0	1175.0
NM_001179374.3	59.0	59.0	68.0	48.0	76.0	121.0
NM_001179376.1	539.0	434.0	791.0	580.0	618.0	958.0
NM_001179377.1	501.0	364.0	727.0	499.0	553.0	1001.0
NM_001179379.3	65.0	64.0	88.0	76.0	90.0	171.0
NM_001179380.3	1647.0	1574.0	2374.0	2604.0	2245.0	2982.0
NM_001179381.1	312.0	259.0	411.0	397.0	376.0	456.0
NM_001179383.1	841.0	895.0	1175.0	956.0	854.0	1411.0
NM_001179384.3	704.0	767.0	1135.0	1077.0	838.0	1649.0
NM_001179385.1	910.0	718.0	1226.0	858.0	1371.0	2011.0
NM_001179386.1	425.0	361.0	635.0	532.0	445.0	819.0
NM_001179387.3	129.0	112.0	184.0	192.0	172.0	263.0
NM_001179388.3	1058.0	884.0	1256.0	1143.0	1462.0	1759.0
NM_001179389.1	1414.0	1306.0	1931.0	1673.0	1488.0	2524.0
NM_001179390.1	338.0	306.0	505.0	369.0	363.0	667.0
NM_001179391.3	1538.0	1771.0	2315.0	2211.0	1798.0	3539.0
NM_001179392.1	144.0	138.0	206.0	219.0	206.0	293.0
NM_001179393.1	3668.0	3827.0	5150.0	4206.0	4033.0	7152.0
NM_001179394.3	536.0	479.0	740.0	601.0	631.0	1099.0
NM_001179395.3	112.0	101.0	186.0	146.0	131.0	287.0
NM_001179396.1	568.0	596.0	796.0	744.0	682.0	981.0
NM_001184654.1	4.0	8.0	9.0	10.0	8.0	7.0
NM_001179397.3	1880.0	2050.0	2456.0	2465.0	2354.0	3349.0
NM_001179398.1	737.0	673.0	1112.0	1027.0	939.0	1282.0
NM_001179399.1	229.0	169.0	236.0	249.0	265.0	387.0
NM_001179400.3	287.0	232.0	397.0	310.0	296.0	534.0
NM_001179401.3	5221.0	5810.0	6853.0	4660.0	4625.0	9002.0
NM_001179402.1	9579.24	10077.21	14612.33	10400.37	9941.76	20486.08
NM_001179403.1	9840.0	10506.0	12570.0	9339.0	8808.0	15701.0
NM_001270751.1	1.0	5.0	7.0	9.0	2.0	15.0
NM_001179405.1	103.0	122.0	164.0	127.0	116.0	153.0
NM_001179406.1	326.0	318.0	383.0	365.0	329.0	455.0
NM_001179407.3	1.0	0.0	2.0	2.0	3.0	0.0
NM_001431140.1	60.81	56.11	90.59	105.24	85.08	137.53
NM_001179410.3	11.19	6.89	11.41	4.76	18.92	61.47
NM_001179411.1	157.0	163.0	219.0	160.0	175.0	239.0
NM_001179412.1	885.0	893.0	1325.0	1015.0	1012.0	2149.0
NM_001179413.1	417.0	300.0	799.0	296.0	422.0	931.0
NM_001179414.2	505.0	526.0	738.0	618.0	631.0	1001.0
NM_001179415.3	243.0	234.0	292.0	247.0	295.0	479.0
NM_001179416.3	53.0	66.0	86.0	90.0	75.0	111.0
NM_001179417.1	417.0	371.0	581.0	542.0	463.0	734.0
NM_001179418.1	475.0	446.0	728.0	535.0	596.0	1006.0
NM_001179419.1	3566.45	4141.71	5435.84	3989.08	3254.66	6876.37
NM_001179420.1	449.0	376.0	667.0	405.0	416.0	803.0
NM_001179421.3	217.0	180.0	286.0	200.0	254.0	373.0
NM_001179422.3	90.0	96.0	109.0	65.0	70.0	144.0
NM_001179423.1	283.0	290.0	369.0	264.0	259.0	309.0
NM_001179424.1	1275.76	1155.12	1833.6	1356.85	1249.74	1972.59
NM_001179425.1	3379.0	3173.0	4879.0	5245.0	5298.0	7294.0
NM_001179426.1	1626.0	1413.0	2375.0	1599.0	1712.0	3000.0
NM_001179427.3	263.0	279.0	340.0	285.0	323.0	487.0
NM_001179428.3	10277.0	10336.0	13889.0	11274.0	11005.0	17985.0
NM_001179429.1	360.0	361.0	577.0	512.0	494.0	767.0
NM_001181434.4	561.92	671.61	793.71	847.96	830.77	1000.85
NM_001179431.2	571.0	530.0	795.0	623.0	612.0	1004.0
NM_001179432.1	209.0	177.0	285.0	224.0	191.0	285.0
NM_001179433.3	1041.0	1063.0	1509.0	1198.0	1068.0	1847.0
