transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001181260.1	12.82	14.65	12.99	14.56	13.86	12.11
NM_001181261.3	196.96	173.45	187.43	203.55	224.61	235.19
NM_001181262.1	45.54	34.43	40.58	40.53	42.94	46.89
NM_001181263.3	20.68	20.46	21.38	27.86	25.48	20.68
NM_001181264.3	330.74	269.29	363.92	334.84	391.45	436.35
NM_001181265.1	185.6	156.94	168.72	184.14	207.9	171.37
NM_001181267.1	12.64	9.83	7.44	17.64	17.92	14.6
NM_001181269.3	19.21	17.93	19.75	22.13	25.43	19.65
NM_001181270.1	41.38	38.95	36.16	38.45	44.58	34.41
NM_001181271.3	36.65	35.24	48.67	50.4	63.36	49.05
NM_001181272.3	29.82	29.29	25.9	32.15	32.68	24.36
NM_001181273.1	4.93	7.15	4.77	4.84	7.23	6.04
NM_001181274.2	46.12	33.64	57.98	39.83	57.32	61.62
NM_001181275.3	49.02	44.25	61.43	38.61	36.0	32.55
NM_001184594.1	9.93	5.13	4.83	11.11	6.55	4.59
NM_001181276.3	78.88	75.46	78.06	75.23	93.07	82.07
NM_001181277.3	2168.07	2246.18	2136.57	1648.52	1868.88	2093.14
