name	wt_ribo_YPD1_cds_rpf	wt_ribo_YPD2_cds_rpf	wt_ribo_YPD3_cds_rpf	ncs2d_ribo_YPD1_cds_rpf	ncs2d_ribo_YPD2_cds_rpf	ncs2d_ribo_YPD3_cds_rpf	elp6d_ribo_YPD1_cds_rpf	elp6d_ribo_YPD2_cds_rpf	elp6d_ribo_YPD3_cds_rpf	ncs2d_elp6d_ribo_YPD1_cds_rpf	ncs2d_elp6d_ribo_YPD2_cds_rpf	ncs2d_elp6d_ribo_YPD3_cds_rpf
NM_001183213.1	731	903	458	1166	945	675	852	696	670	1225	1063	1365
NM_001183214.3	242	311	183	275	294	191	243	190	195	279	237	308
NM_001183215.1	995	1248	563	1798	1421	858	1428	1028	1029	2000	1831	2446
NM_001183216.1	356	493	236	543	397	226	417	305	273	543	457	632
NM_001183217.3	186	205	129	240	214	118	215	166	167	204	219	319
NM_001183218.3	331	448	252	568	491	301	354	306	246	583	527	703
NM_001183220.1	3840	4529	2409	6140	5339	2747	4533	3618	3318	5819	5062	7592
NM_001183221.1	862	1307	632	1548	1583	1090	403	391	451	255	240	395
NM_001183222.3	94	107	57	100	114	50	116	90	82	124	99	156
NM_001183223.1	1110	1203	631	1347	1327	722	1151	922	935	1749	1345	2084
NM_001183224.1	644	839	361	789	708	382	645	492	393	813	662	955
NM_001183225.3	151	162	117	197	180	122	180	135	140	252	226	277
NM_001183226.3	269	297	154	361	289	142	187	159	121	262	216	365
NM_001183227.1	3681	4221	2143	4941	4028	2466	4361	3324	3296	4735	4151	5788
NM_001183228.1	803	932	492	986	767	462	842	664	597	900	689	1207
NM_001183229.3	905	1098	588	1290	1004	663	720	617	581	1050	887	1356
NM_001183230.1	1953	2327	1405	2999	2627	1459	2606	1872	1955	3100	2697	3687
NM_001183231.1	738	940	478	884	697	341	482	393	374	606	536	728
NM_001183232.3	491	659	335	595	504	242	480	364	315	447	408	584
NM_001183233.3	2	0	0	0	0	1	1	1	2	1	6	7
NM_001183234.1	27	34	20	36	52	22	27	28	31	58	54	67
NM_001183235.1	3	7	5	13	17	7	12	9	9	30	27	19
NM_001183236.3	37	65	26	56	60	34	46	34	36	66	56	78
NM_001183237.1	254	208	144	98	80	39	46	30	40	31	30	47
NM_001183238.1	676	892	426	1003	880	467	815	641	545	935	893	1257
NM_001183239.3	0	9	4	7	9	7	7	3	4	7	11	9
NM_001183240.3	61	155	65	133	131	55	119	75	78	119	104	139
NM_001183241.1	12	8	5	18	18	14	12	9	12	38	25	33
NM_001183242.1	77	94	44	131	97	49	86	55	77	142	106	158
NM_001183243.3	36	52	25	65	67	24	64	48	40	63	61	122
