name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001180348.1	34.11	59.69	32.53	43.44	39.94	16.6	31.55	26.12	47.33	62.73	51.94	137.58
NM_001180349.1	29.38	46.33	24.55	32.97	32.75	14.1	26.35	18.36	38.8	36.98	23.48	66.25
NM_001180350.3	0.85	1.87	1.03	0.45	1.02	0.24	0.8	0.22	1.1	0.57	0.75	1.91
NM_001180351.3	10.72	14.18	5.81	10.05	8.79	2.6	5.88	6.23	8.92	8.93	6.14	14.78
NM_001180352.1	59.64	81.0	50.38	60.42	64.62	24.63	40.55	32.69	65.83	57.55	40.55	116.0
NM_001180353.1	66.7	104.64	59.12	75.21	76.63	29.51	55.36	46.51	87.68	77.0	62.39	142.78
NM_001180354.3	48.18	82.29	42.22	50.87	48.54	20.36	39.11	35.72	53.68	49.73	37.57	98.49
NM_001180355.3	32.17	50.52	29.18	36.72	34.98	15.5	25.91	20.31	41.34	42.47	30.56	77.42
NM_001180357.1	15.42	23.04	12.86	16.15	17.18	5.72	10.88	8.62	15.31	15.45	11.6	30.85
NM_001180358.1	4388.69	6454.59	3759.63	4904.43	5059.05	2049.34	3399.7	2835.65	5386.33	4460.06	3445.64	9186.4
NM_001180359.3	22.55	38.48	22.46	30.67	27.32	9.78	19.44	16.65	23.88	27.96	22.81	48.79
NM_001180360.3	9.57	17.03	10.82	11.41	10.87	4.86	8.69	7.65	12.45	12.93	8.62	25.25
NM_001180362.1	58.93	86.3	51.49	60.85	65.02	23.76	44.37	37.83	68.28	72.32	50.64	130.61
NM_001180363.1	80.13	137.11	66.03	124.27	125.41	44.27	99.38	85.37	129.26	172.09	127.44	361.65
NM_001180364.3	67.95	114.43	63.29	110.19	109.5	39.78	70.41	55.68	98.96	112.73	93.34	237.05
NM_001180365.3	11.29	19.3	11.38	16.33	16.33	5.89	11.55	10.27	15.44	20.45	14.57	43.7
NM_001180366.1	3.51	4.9	2.33	5.26	5.03	1.62	3.98	4.33	6.22	7.1	6.8	14.47
NM_001180367.1	19.97	25.89	16.12	24.92	28.31	8.14	18.15	17.49	25.71	39.83	26.94	63.94
NM_001180368.3	61.58	102.08	55.64	71.83	70.05	25.91	50.45	43.13	79.72	70.56	48.88	135.72
NM_001180369.3	12.09	23.74	12.61	13.78	15.71	5.73	9.38	8.7	13.46	11.16	8.37	21.96
NM_001180370.1	69.53	118.81	61.68	85.35	81.63	30.94	62.61	49.82	84.32	87.61	62.73	184.39
NM_001180371.1	55.48	87.79	47.34	64.83	63.02	24.51	36.53	32.93	49.34	59.34	42.33	104.55
