transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
NM_001178530.3	31.0	40.0	15.0	37.0	29.0	13.0
NM_001184586.1	2.0	3.0	2.0	5.0	6.0	2.0
NM_001178531.1	78.0	119.0	66.0	178.0	172.0	97.0
NM_001178532.3	47.0	81.0	39.0	55.0	63.0	23.0
NM_001178533.3	363.0	391.0	217.0	466.0	451.0	261.0
NM_001178534.1	17.0	16.0	9.0	22.0	17.0	4.0
NM_001178535.1	1864.0	2290.0	1253.0	2670.0	2442.0	1369.0
NM_001178536.3	251.0	264.0	138.0	255.0	224.0	140.0
NM_001178537.3	50195.04	58413.36	30254.13	57797.17	53530.21	26794.41
NM_001178539.1	39623.2	45414.73	24543.25	42861.77	39272.78	21287.88
NM_001178540.1	347.0	472.0	265.0	477.0	423.0	229.0
NM_001178541.3	245.0	328.0	191.0	307.0	278.0	152.0
NM_001178542.3	76.0	138.0	65.0	183.0	172.0	82.0
NM_001178543.1	273.0	319.0	205.0	399.0	321.0	194.0
NM_001178544.1	45909.0	52869.0	31229.0	54650.0	48747.0	30148.0
NM_001184541.3	0.0	0.0	0.0	0.0	0.0	0.0
NM_001184643.3	1.0	4.0	3.0	1.0	5.0	0.0
NM_001178545.1	206.0	255.0	113.0	254.0	227.0	145.0
NM_001178546.1	1170.0	1451.0	681.0	2099.0	1633.0	1000.0
NM_001178547.3	1109.0	1406.0	790.0	1572.0	1304.0	668.0
NM_001178548.3	570.0	738.0	448.0	772.0	681.0	353.0
NM_001184542.1	0.0	1.0	0.0	2.0	3.0	0.0
NM_001184676.3	30.0	37.0	20.0	36.0	40.0	23.0
NM_001178549.1	144.0	183.0	117.0	219.0	212.0	95.0
NM_001178550.4	1086.06	1328.54	754.57	1429.82	1252.86	766.42
NM_001178551.2	43.0	49.0	37.0	34.0	44.0	22.0
NM_001178552.2	241.0	327.0	179.0	315.0	298.0	185.0
NM_001178553.3	1842.0	2154.0	1360.0	2045.0	1895.0	1134.0
NM_001178555.4	818.0	1004.0	501.0	1103.0	973.0	514.0
NM_001178556.1	413.0	470.0	333.0	793.0	548.0	406.0
NM_001348891.1	33.0	45.0	19.0	49.0	54.0	14.0
NM_001178558.1	292.0	301.0	194.0	330.0	325.0	207.0
NM_001178559.3	217.0	288.0	150.0	285.0	274.0	143.0
NM_001178560.3	1214.86	1494.93	755.89	1706.91	1592.93	876.86
NM_001178561.1	147.0	188.0	146.0	174.0	172.0	115.0
NM_001178562.1	503.0	529.0	272.0	741.0	582.0	360.0
NM_001178563.3	460.0	670.0	265.0	687.0	537.0	318.0
NM_001178564.3	515.0	561.0	344.0	604.0	538.0	309.0
NM_001178565.1	82.0	94.0	44.0	108.0	68.0	45.0
NM_001178566.1	3507.03	4093.77	2418.81	4616.84	4111.85	2282.23
NM_001178567.3	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178568.3	514.0	678.0	342.0	606.0	510.0	321.0
NM_001178569.1	6822.0	8340.0	4816.0	7121.0	6828.0	4099.0
NM_001184644.1	1.0	1.0	0.0	0.0	2.0	0.0
NM_001178570.3	1565.0	1938.0	1099.0	1894.0	1756.0	1086.0
NM_001178571.3	69.0	106.0	62.0	118.0	124.0	54.0
NM_001178573.1	245.0	316.0	151.0	329.0	276.0	132.0
NM_001178575.1	511.0	583.0	354.0	599.0	530.0	292.0
NM_001178576.3	103.0	107.0	69.0	162.0	132.0	64.0
NM_001178577.3	1409.0	1786.0	956.0	1929.0	1724.0	984.0
NM_001178578.1	700.0	813.0	458.0	959.0	937.0	510.0
NM_001184673.1	96.0	130.0	63.0	130.0	104.0	80.0
NM_001178579.3	245.0	287.0	155.0	444.0	362.0	220.0
NM_001178581.3	361.0	471.0	266.0	391.0	334.0	207.0
NM_001184461.1	254.0	313.0	177.0	283.0	271.0	140.0
NM_001178582.1	2426.0	2969.0	1692.0	3222.0	2904.0	1623.0
NM_001178583.3	487.0	540.0	325.0	610.0	493.0	257.0
NM_001178584.3	593.0	754.0	390.0	862.0	751.0	378.0
NM_001178585.1	184.0	270.0	142.0	309.0	249.0	127.0
NM_001178586.1	667.0	769.0	420.0	706.0	676.0	362.0
NM_001178587.3	167.0	160.0	119.0	171.0	156.0	88.0
NM_001178588.3	17.0	21.0	19.0	18.0	17.0	5.0
NM_001178589.1	181.0	237.0	139.0	296.0	271.0	190.0
NM_001178590.1	471.0	599.0	314.0	585.0	568.0	261.0
NM_001178591.3	724.0	928.0	484.0	986.0	847.0	454.0
NM_001178592.3	1525.0	1983.0	1001.0	1897.0	1712.99	801.0
NM_001178593.1	2353.0	3032.0	1498.0	3522.0	2982.0	1669.0
NM_001178594.1	461.0	544.0	366.0	740.0	642.0	384.0
NM_001178595.3	1623.0	1954.0	1173.0	1994.0	1942.0	1144.0
NM_001178596.3	1766.0	2069.0	1133.0	2433.0	2117.0	1104.0
NM_001178597.1	8082.0	8859.0	4631.0	8487.0	7481.0	4101.0
NM_001178598.1	9.0	16.0	10.0	13.0	7.0	7.0
NM_001178599.3	479.0	521.0	316.0	579.0	566.0	302.0
NM_001178600.3	1410.0	1671.0	903.0	1513.0	1246.0	765.0
NM_001178601.1	199.0	249.0	152.0	266.0	227.0	116.0
NM_001178602.1	363.0	470.0	271.0	631.0	602.0	390.0
NM_001184510.3	156.0	209.0	104.0	189.0	197.0	103.0
NM_001178603.3	148.0	188.0	125.0	279.0	221.0	154.0
NM_001178604.1	637.0	810.0	460.0	1234.0	1164.0	562.0
NM_001178605.1	215.55	292.0	137.0	323.52	256.46	128.51
NM_001178606.3	93.45	119.0	65.0	155.48	142.54	65.49
NM_001178607.3	90.0	93.0	49.0	108.0	96.0	58.0
NM_001178608.1	425.0	542.0	275.0	673.0	522.0	354.0
NM_001178609.1	1026.0	1163.0	669.0	963.0	940.0	518.0
NM_001178610.3	252.0	264.0	178.0	285.0	294.0	189.0
NM_001178611.3	5722.0	6620.0	3667.0	6338.0	5971.0	3588.0
NM_001178612.1	216.0	350.0	183.0	397.0	342.0	186.0
NM_001178613.2	670.0	861.0	477.0	1029.0	957.0	464.0
NM_001395042.1	0.56	0.0	0.01	40.85	19.34	0.0
NM_001178615.4	1022.44	1260.0	706.99	1444.15	1285.66	727.0
NM_001178616.3	425.0	523.0	261.0	677.0	590.0	384.0
NM_001178617.1	499.0	616.0	282.0	694.0	638.0	374.0
NM_001178618.2	22.0	36.0	14.0	31.0	39.0	23.0
NM_001178619.3	478.0	458.0	269.0	605.0	560.0	267.0
NM_001178620.3	376.0	503.0	276.0	530.0	475.0	233.0
NM_001178621.1	801.0	919.0	476.0	920.0	837.0	472.0
NM_001178622.1	240.0	295.0	145.0	326.0	280.0	185.0
NM_001178623.4	519.0	784.0	396.0	712.0	622.0	326.0
NM_001178624.3	205.0	250.0	147.0	262.0	249.0	139.0
NM_001178626.1	137.0	216.0	111.0	292.0	251.0	114.0
NM_001178627.1	903.0	1191.0	597.0	1381.0	1183.0	692.0
NM_001178628.3	145.0	190.0	118.0	280.0	214.0	139.0
NM_001178629.3	827.0	1084.0	624.0	1156.0	948.0	522.0
NM_001178630.1	429.0	475.0	254.0	599.0	460.0	290.0
NM_001178631.1	5484.0	6923.0	3824.0	7907.0	7108.0	3904.0
NM_001178632.3	28.0	28.0	13.0	60.0	30.0	28.0
NM_001178633.4	13.0	12.0	7.0	16.0	10.0	7.0
NM_001178634.1	12004.0	14980.0	7698.0	17149.0	15219.0	8320.0
NM_001178635.1	747.0	978.0	461.0	864.0	755.0	364.0
NM_001178636.4	710.0	894.0	500.0	1155.0	1080.0	533.0
