gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YNL222W	38.02	42.35	39.41	36.35	30.78	33.38
YNL223W	4.39	4.02	4.8	5.33	4.98	4.51
YNL224C	15.26	14.45	13.58	15.48	14.55	14.6
YNL225C	7.63	10.6	7.71	9.97	8.91	9.19
YNL227C	12.99	14.19	15.46	13.25	13.71	12.67
YNL229C	52.54	55.47	65.5	53.64	53.63	50.03
YNL230C	3.95	5.6	3.93	3.9	4.43	4.27
YNL231C	109.58	107.15	119.92	93.85	86.57	100.79
YNL232W	58.2	58.86	65.52	69.08	69.3	69.58
YNL233W	13.97	17.52	13.08	15.89	13.76	13.1
YNL234W	4.09	5.0	4.02	3.86	3.35	3.74
YNL236W	11.12	12.34	12.45	12.57	12.79	14.4
YNL237W	3.32	3.15	5.09	3.84	2.92	4.12
YNL238W	20.09	21.05	20.59	21.05	20.96	19.66
YNL239W	74.9	78.89	78.33	71.71	69.26	69.54
YNL240C	14.03	15.85	17.17	22.62	24.71	27.1
YNL241C	119.6	123.53	132.33	183.64	186.6	215.03
YNL242W	4.01	4.59	4.52	4.53	4.5	4.77
YNL243W	65.78	65.06	64.31	75.63	73.07	81.66
YNL244C	731.6	758.16	789.9	680.76	700.36	626.81
YNL245C	20.63	22.74	21.05	26.24	26.08	26.77
YNL246W	30.3	31.64	33.5	41.0	37.92	36.54
YNL247W	139.99	142.37	143.42	148.76	148.67	151.31
YNL248C	158.4	160.02	148.89	166.47	167.06	157.41
YNL249C	4.01	3.64	4.73	4.96	4.68	4.3
YNL250W	4.3	3.98	3.43	4.07	4.2	4.09
YNL251C	64.63	65.45	61.45	62.11	62.75	60.99
YNL252C	26.08	27.42	26.34	32.0	34.89	34.59
YNL253W	13.04	13.42	14.23	16.41	16.99	17.67
YNL254C	6.88	6.97	6.28	7.39	7.88	9.57
YNL255C	737.46	713.93	669.63	701.16	742.48	656.14
YNL256W	19.12	19.73	19.08	22.16	22.93	26.75
YNL257C	4.49	4.92	5.77	5.76	4.71	5.62
YNL258C	15.68	16.52	19.86	16.75	15.21	15.78
YNL259C	151.88	157.7	179.15	142.34	137.42	123.11
YNL260C	33.68	36.22	34.86	37.66	40.23	31.65
YNL261W	11.94	12.0	13.09	11.95	13.48	11.73
YNL262W	10.66	11.34	13.15	11.28	10.9	10.51
