Sample	Length	Site	End	Offset	Count
elp6d_ribo_YPD1	30	TIS	5p-end	-2	4330
elp6d_ribo_YPD1	31	TIS	5p-end	-2	12797
elp6d_ribo_YPD1	32	TIS	5p-end	-2	31982
elp6d_ribo_YPD1	33	TIS	5p-end	-2	32203
elp6d_ribo_YPD1	27	TIS	5p-end	-1	75
elp6d_ribo_YPD1	28	TIS	5p-end	-1	186
elp6d_ribo_YPD1	29	TIS	5p-end	-1	912
elp6d_ribo_YPD1	30	TIS	5p-end	-1	3731
elp6d_ribo_YPD1	31	TIS	5p-end	-1	11715
elp6d_ribo_YPD1	32	TIS	5p-end	-1	17188
elp6d_ribo_YPD1	33	TIS	5p-end	-1	1732
elp6d_ribo_YPD1	27	TTS	5p-end	-34	0
elp6d_ribo_YPD1	28	TTS	5p-end	-34	0
elp6d_ribo_YPD1	29	TTS	5p-end	-34	0
elp6d_ribo_YPD1	30	TTS	5p-end	-34	0
elp6d_ribo_YPD1	31	TTS	5p-end	-34	0
elp6d_ribo_YPD1	32	TTS	5p-end	-34	0
elp6d_ribo_YPD1	33	TTS	5p-end	-34	0
elp6d_ribo_YPD1	27	TTS	5p-end	-33	0
elp6d_ribo_YPD1	28	TTS	5p-end	-33	0
elp6d_ribo_YPD1	29	TTS	5p-end	-33	0
elp6d_ribo_YPD1	30	TTS	5p-end	-33	0
elp6d_ribo_YPD1	31	TTS	5p-end	-33	0
elp6d_ribo_YPD1	32	TTS	5p-end	-33	0
elp6d_ribo_YPD1	33	TTS	5p-end	-33	796
elp6d_ribo_YPD1	27	TTS	5p-end	-32	0
elp6d_ribo_YPD1	28	TTS	5p-end	-32	0
elp6d_ribo_YPD1	29	TTS	5p-end	-32	0
elp6d_ribo_YPD1	30	TTS	5p-end	-32	0
elp6d_ribo_YPD1	31	TTS	5p-end	-32	0
elp6d_ribo_YPD1	32	TTS	5p-end	-32	4790
elp6d_ribo_YPD1	33	TTS	5p-end	-32	2988
elp6d_ribo_YPD1	27	TTS	5p-end	-31	0
elp6d_ribo_YPD1	28	TTS	5p-end	-31	0
elp6d_ribo_YPD1	29	TTS	5p-end	-31	0
elp6d_ribo_YPD1	30	TTS	5p-end	-31	0
elp6d_ribo_YPD1	31	TTS	5p-end	-31	7256
elp6d_ribo_YPD1	32	TTS	5p-end	-31	7708
elp6d_ribo_YPD1	33	TTS	5p-end	-31	885
elp6d_ribo_YPD1	27	TTS	5p-end	-30	0
elp6d_ribo_YPD1	28	TTS	5p-end	-30	0
elp6d_ribo_YPD1	29	TTS	5p-end	-30	0
elp6d_ribo_YPD1	30	TTS	5p-end	-30	3435
elp6d_ribo_YPD1	31	TTS	5p-end	-30	5716
elp6d_ribo_YPD1	32	TTS	5p-end	-30	2058
elp6d_ribo_YPD1	33	TTS	5p-end	-30	953
elp6d_ribo_YPD1	27	TTS	5p-end	-29	0
elp6d_ribo_YPD1	28	TTS	5p-end	-29	0
elp6d_ribo_YPD1	29	TTS	5p-end	-29	214
elp6d_ribo_YPD1	30	TTS	5p-end	-29	985
elp6d_ribo_YPD1	31	TTS	5p-end	-29	2726
elp6d_ribo_YPD1	32	TTS	5p-end	-29	5367
elp6d_ribo_YPD1	33	TTS	5p-end	-29	5458
elp6d_ribo_YPD1	27	TTS	5p-end	-28	0
elp6d_ribo_YPD1	28	TTS	5p-end	-28	48
elp6d_ribo_YPD1	29	TTS	5p-end	-28	482
elp6d_ribo_YPD1	30	TTS	5p-end	-28	2346
elp6d_ribo_YPD1	31	TTS	5p-end	-28	6824
elp6d_ribo_YPD1	32	TTS	5p-end	-28	9583
elp6d_ribo_YPD1	33	TTS	5p-end	-28	901
elp6d_ribo_YPD1	27	TTS	5p-end	-27	57
elp6d_ribo_YPD1	28	TTS	5p-end	-27	188
elp6d_ribo_YPD1	29	TTS	5p-end	-27	914
elp6d_ribo_YPD1	30	TTS	5p-end	-27	3507
elp6d_ribo_YPD1	31	TTS	5p-end	-27	7312
elp6d_ribo_YPD1	32	TTS	5p-end	-27	1809
elp6d_ribo_YPD1	33	TTS	5p-end	-27	580
elp6d_ribo_YPD1	27	TTS	5p-end	-26	58
elp6d_ribo_YPD1	28	TTS	5p-end	-26	71
elp6d_ribo_YPD1	29	TTS	5p-end	-26	235
elp6d_ribo_YPD1	30	TTS	5p-end	-26	1000
elp6d_ribo_YPD1	31	TTS	5p-end	-26	3465
elp6d_ribo_YPD1	32	TTS	5p-end	-26	3864
elp6d_ribo_YPD1	33	TTS	5p-end	-26	3000
elp6d_ribo_YPD1	27	TTS	5p-end	-25	24
elp6d_ribo_YPD1	28	TTS	5p-end	-25	92
elp6d_ribo_YPD1	29	TTS	5p-end	-25	501
elp6d_ribo_YPD1	30	TTS	5p-end	-25	3059
elp6d_ribo_YPD1	31	TTS	5p-end	-25	4364
elp6d_ribo_YPD1	32	TTS	5p-end	-25	5610
elp6d_ribo_YPD1	33	TTS	5p-end	-25	1016
elp6d_ribo_YPD1	27	TTS	5p-end	-24	113
elp6d_ribo_YPD1	28	TTS	5p-end	-24	141
elp6d_ribo_YPD1	29	TTS	5p-end	-24	1092
elp6d_ribo_YPD1	30	TTS	5p-end	-24	2116
elp6d_ribo_YPD1	31	TTS	5p-end	-24	3845
elp6d_ribo_YPD1	32	TTS	5p-end	-24	2226
elp6d_ribo_YPD1	33	TTS	5p-end	-24	1202
elp6d_ribo_YPD1	27	TTS	5p-end	-23	55
elp6d_ribo_YPD1	28	TTS	5p-end	-23	39
elp6d_ribo_YPD1	29	TTS	5p-end	-23	110
elp6d_ribo_YPD1	30	TTS	5p-end	-23	514
elp6d_ribo_YPD1	31	TTS	5p-end	-23	1907
elp6d_ribo_YPD1	32	TTS	5p-end	-23	5542
elp6d_ribo_YPD1	33	TTS	5p-end	-23	4429
elp6d_ribo_YPD1	27	TTS	5p-end	-22	22
elp6d_ribo_YPD1	28	TTS	5p-end	-22	50
elp6d_ribo_YPD1	29	TTS	5p-end	-22	318
elp6d_ribo_YPD1	30	TTS	5p-end	-22	2056
elp6d_ribo_YPD1	31	TTS	5p-end	-22	8172
elp6d_ribo_YPD1	32	TTS	5p-end	-22	8998
elp6d_ribo_YPD1	33	TTS	5p-end	-22	886
elp6d_ribo_YPD1	27	TTS	5p-end	-21	43
elp6d_ribo_YPD1	28	TTS	5p-end	-21	102
elp6d_ribo_YPD1	29	TTS	5p-end	-21	608
elp6d_ribo_YPD1	30	TTS	5p-end	-21	3654
elp6d_ribo_YPD1	31	TTS	5p-end	-21	6221
elp6d_ribo_YPD1	32	TTS	5p-end	-21	2607
elp6d_ribo_YPD1	33	TTS	5p-end	-21	1005
elp6d_ribo_YPD1	27	TTS	5p-end	-20	40
elp6d_ribo_YPD1	28	TTS	5p-end	-20	54
