transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
YOR396W-t26_1	49.0	64.67	103.67	78.0	56.33	57.67	17.0	61.0	56.33	77.67	101.33	166.33
YPL001W-t26_1	443.0	392.0	635.0	415.0	510.0	755.0	311.0	724.0	758.0	525.0	327.0	1001.0
YPL002C-t26_1	339.0	252.0	464.0	307.0	366.0	583.0	294.0	741.0	649.0	378.0	331.0	767.0
YPL003W-t26_1	359.0	411.0	535.0	438.0	506.0	781.0	405.0	1062.0	894.0	700.0	681.0	1332.0
YPL004C-t26_1	2232.0	2716.0	2812.0	3654.0	3537.0	5464.0	2428.0	7153.0	5460.0	5024.0	5699.0	10771.0
YPL005W-t26_1	142.0	115.0	204.0	196.0	182.0	297.0	114.0	349.0	346.0	245.0	191.0	465.0
YPL006W-t26_1	537.0	527.0	873.0	681.0	548.0	995.0	611.0	1551.0	1236.0	785.0	1063.0	1552.0
YPL007C-t26_1	478.0	405.0	600.0	449.0	566.0	735.0	399.0	978.0	891.0	634.0	452.0	1141.0
YPL008W-t26_1	426.0	415.0	604.0	462.0	623.0	879.0	343.0	967.0	982.0	770.0	483.0	1350.0
YPL009C-t26_1	516.0	535.0	1026.0	741.0	705.0	1622.0	609.0	1367.0	1636.0	1784.0	1226.0	3887.0
YPL010W-t26_1	1505.0	1356.0	2265.0	1670.0	1767.0	3421.0	1510.0	3923.0	3419.0	2209.0	2223.0	4685.0
YPL011C-t26_1	304.0	278.0	487.0	351.0	478.0	762.0	302.0	708.0	724.0	541.0	381.0	1024.0
YPL012W-t26_1	1801.0	1682.0	2595.0	2186.0	2380.0	3523.0	1657.0	4129.0	4056.0	3071.0	2421.0	5627.0
YPL013C-t26_1	271.0	259.0	442.0	326.0	413.0	722.0	281.0	773.0	556.0	526.0	356.0	1055.0
YPL014W-t26_1	142.0	147.0	239.0	191.0	179.0	333.0	170.0	403.0	326.0	212.0	312.0	496.0
YPL015C-t26_1	624.0	758.0	937.0	791.0	676.0	1141.0	737.0	2006.0	1536.0	1009.0	1313.0	2132.0
YPL016W-t26_1	402.0	370.0	662.0	396.0	380.0	591.0	254.0	824.0	874.0	582.0	597.0	1144.0
YPL017C-t26_1	322.21	311.63	481.03	358.94	300.0	343.13	261.6	805.33	491.91	318.52	371.58	561.7
YPL018W-t26_1	222.79	218.37	318.97	275.06	223.0	223.87	185.4	493.67	314.09	234.48	266.42	485.3
YPL019C-t26_1	5005.0	4702.0	8042.0	3524.0	3225.0	2266.0	2508.0	7875.0	3749.0	852.0	730.0	1707.0
YPL020C-t26_1	233.0	178.0	399.0	311.0	358.0	665.0	242.0	638.0	647.0	581.0	243.0	1118.0
YPL021W-t26_1	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	4.0	7.0
YPL022W-t26_1	666.0	678.0	1006.0	1029.0	883.0	1410.0	700.0	1728.0	1530.0	1235.0	1064.0	2353.0
YPL023C-t26_1	920.0	962.0	1152.0	1162.0	1086.0	1470.0	841.0	2288.0	1817.0	1161.0	1484.0	2421.0
YPL024W-t26_1	217.0	259.0	344.0	253.0	272.0	525.0	226.0	549.0	569.0	328.0	347.0	638.0
YPL026C-t26_1	226.0	236.0	267.0	205.0	223.0	333.0	167.0	437.0	443.0	250.0	203.0	400.0
YPL027W-t26_1	7.0	5.0	5.0	10.0	4.0	3.0	6.0	22.0	14.0	21.0	16.0	22.0
YPL028W-t26_1	5218.0	6046.0	7177.0	5454.0	5252.0	9059.0	4551.0	11737.0	9631.0	5973.0	6612.0	12161.0
YPL029W-t26_1	365.0	397.0	574.0	484.0	434.0	686.0	332.0	945.0	801.0	554.0	416.0	1023.0
YPL030W-t26_1	647.0	574.0	885.0	862.0	817.0	1213.0	619.0	1710.0	1393.0	943.0	1019.0	1864.0
YPL031C-t26_1	639.0	674.0	845.0	706.0	696.0	1198.0	591.0	1638.0	1323.0	916.0	1015.0	1994.0
YPL032C-t26_1	801.0	821.0	1392.0	974.0	880.0	1157.0	820.0	2268.0	1886.0	1221.0	1380.0	2358.0
YPL033C-t26_1	6.0	3.0	8.0	10.0	8.0	22.0	10.0	17.0	27.0	10.0	16.0	21.0
YPL034W-t26_1	150.0	139.0	232.0	176.0	207.0	451.0	162.0	424.0	373.0	279.0	168.0	545.0
YPL036W-t26_1	144.4	176.44	227.51	188.9	158.18	227.95	133.92	445.42	303.94	247.51	274.92	387.08
YPL037C-t26_1	7192.0	6677.0	9203.0	6329.0	6238.0	11679.0	5259.0	13605.0	12875.0	6644.0	6654.0	14158.0
YPL038W-t26_1	224.0	212.0	285.0	199.0	223.0	422.0	144.0	386.0	355.0	197.0	177.0	455.0
YPL038W-A-t26_1	22.0	17.33	24.3	17.0	38.47	31.66	10.0	46.0	29.0	26.19	18.0	47.57
YPL039W-t26_1	214.0	167.67	264.7	194.0	206.53	303.34	148.0	362.0	386.0	293.81	176.0	561.43
YPL040C-t26_1	365.0	293.0	498.0	412.0	372.0	498.0	325.0	823.0	624.0	409.0	507.0	824.0
YPL041C-t26_1	112.0	88.0	116.0	110.0	102.0	217.0	109.0	240.0	248.0	147.0	140.0	318.0
YPL042C-t26_1	333.0	332.0	441.0	377.0	422.0	624.0	305.0	776.0	668.0	481.0	320.0	919.0
YPL043W-t26_1	793.0	779.0	1362.0	888.0	1080.0	1882.0	678.0	1696.0	1678.0	1350.0	682.0	2395.0
YPL045W-t26_1	488.0	423.0	697.0	484.0	568.0	806.0	383.0	996.0	995.0	785.0	506.0	1425.0
YPL046C-t26_1	108.0	77.0	156.0	108.0	123.0	213.0	80.0	203.0	182.0	152.0	110.0	248.0
YPL047W-t26_1	180.0	143.0	322.0	311.0	243.0	501.0	198.0	579.0	508.0	246.0	266.0	555.0
YPL048W-t26_1	2335.01	2535.13	3743.82	2818.01	2172.01	4183.75	2252.0	6000.1	5234.4	2747.02	4249.02	6414.04
YPL049C-t26_1	719.0	689.0	889.0	836.0	799.0	1129.0	645.0	1827.0	1490.0	946.0	1227.0	2011.0
YPL050C-t26_1	1519.0	1337.0	2047.0	1601.0	1842.0	2784.0	1272.0	3344.0	3367.0	2137.0	1250.0	3975.0
YPL051W-t26_1	124.0	113.0	232.0	118.0	150.0	233.0	91.0	244.0	226.0	186.0	108.0	370.0
YPL052W-t26_1	211.0	176.0	309.0	306.0	335.0	646.0	222.0	397.0	532.0	451.0	298.0	836.0
YPL053C-t26_1	996.0	986.0	1364.0	1263.0	1440.0	2286.0	881.0	2362.0	2048.0	1815.0	1522.0	3348.0
YPL054W-t26_1	35.0	28.0	48.0	30.0	33.0	65.0	39.0	89.0	77.0	57.0	45.0	103.0
YPL055C-t26_1	303.0	272.0	479.0	344.0	340.0	575.0	271.0	799.0	619.0	458.0	501.0	899.0
YPL056C-t26_1	58.0	55.0	65.0	81.0	63.0	127.0	58.0	135.0	136.0	104.0	124.0	210.0
YPL057C-t26_1	428.0	407.0	566.0	356.0	333.0	492.0	291.0	845.0	737.0	415.0	397.0	786.0
YPL058C-t26_1	783.0	831.0	962.0	1186.0	1008.0	1316.0	705.0	2370.0	1680.0	1258.0	1355.0	2130.0
YPL059W-t26_1	502.0	538.0	800.0	647.0	695.0	1365.0	570.0	1373.0	1175.0	859.0	929.0	1785.0
YPL060C-A-t26_1	0.74	41.63	140.41	0.39	163.81	1.38	112.24	1.66	245.8	90.24	70.05	158.49
