Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_un_02d_3	20	16907	28	0.0851	0.0892
R_GR_un_02d_3	21	41083	90	0.2068	0.2867
R_GR_un_02d_3	22	81005	152	0.4078	0.4842
R_GR_un_02d_3	23	137390	230	0.6917	0.7326
R_GR_un_02d_3	24	206393	414	1.039	1.3188
R_GR_un_02d_3	25	328501	623	1.6538	1.9845
R_GR_un_02d_3	26	591140	1046	2.976	3.332
R_GR_un_02d_3	27	1137567	1892	5.7268	6.0268
R_GR_un_02d_3	28	2217904	3249	11.1655	10.3494
R_GR_un_02d_3	29	3983029	5700	20.0517	18.1569
R_GR_un_02d_3	30	5383918	7853	27.1041	25.0151
R_GR_un_02d_3	31	4086679	6803	20.5735	21.6704
R_GR_un_02d_3	32	1448443	2689	7.2919	8.5656
R_GR_un_02d_3	33	185935	530	0.936	1.6883
R_GR_un_02d_3	34	15828	86	0.0797	0.2739
R_GR_un_02d_3	35	1776	5	0.0089	0.0159
R_GR_un_02d_3	36	264	3	0.0013	0.0096
R_GR_un_02d_3	37	54	0	0.0003	0.0
R_GR_un_02d_3	38	8	0	0.0	0.0
R_GR_un_02d_3	39	4	0	0.0	0.0
R_GR_in_04d_1	24	43240	78	0.1687	0.1504
R_GR_in_04d_1	25	111784	252	0.436	0.4859
R_GR_in_04d_1	26	309964	781	1.209	1.5059
R_GR_in_04d_1	27	834440	2709	3.2548	5.2234
R_GR_in_04d_1	28	2010207	4377	7.841	8.4395
R_GR_in_04d_1	29	4362130	7888	17.0149	15.2093
R_GR_in_04d_1	30	7525235	13430	29.3528	25.8951
R_GR_in_04d_1	31	6997372	14501	27.2938	27.9602
R_GR_in_04d_1	32	2777963	6136	10.8357	11.8312
R_GR_in_04d_1	33	539141	1195	2.103	2.3041
R_GR_in_04d_1	34	107955	392	0.4211	0.7558
R_GR_in_04d_1	35	15619	85	0.0609	0.1639
R_GR_in_04d_1	36	1770	21	0.0069	0.0405
R_GR_in_04d_1	37	230	8	0.0009	0.0154
R_GR_in_04d_1	38	60	10	0.0002	0.0193
R_GR_in_04d_1	39	15	0	0.0001	0.0
R_GR_in_04d_1	40	30	0	0.0001	0.0
R_GR_in_04d_1	41	9	0	0.0	0.0
R_GR_in_04d_1	43	15	0	0.0001	0.0
R_GR_in_04d_2	24	222106	573	0.8935	1.2191
R_GR_in_04d_2	25	397169	778	1.5977	1.6553
R_GR_in_04d_2	26	699918	1579	2.8156	3.3596
